X1	Y1	ProbId1	X2	Y2	ProbId2	X3	Y3	ProbId3	X4	Y4	ProbId4	X5	Y5	ProbId5	X6	Y6	ProbId6	
1223.6	422.1	0.95773	1027.6	301.15	0.81278	966.55	107.39	0.4427	1218.6	568.45	0.99106	879.56	197.57	0.88134	1220.3	503.38	0.97113
1223.6	421.29	0.95773	1024.5	298.66	0.81278	965.44	107.26	0.4427	1220	567.59	0.99106	878.5	201.65	0.88134	1219.7	503.34	0.97113
1223.6	420.33	0.95773	1020.8	295.55	0.81278	964.25	107.01	0.4427	1221.9	566.55	0.99106	877.57	205.59	0.88134	1219.3	502.63	0.97113
1223.5	419.47	0.95773	1017.9	293.35	0.81278	963.11	106.69	0.4427	1223.8	565.59	0.99106	876.56	209.63	0.88134	1219.5	501.51	0.97113
1223.2	418.72	0.95773	1015.1	291.72	0.81278	961.97	106.41	0.4427	1221.7	564.95	0.99106	875.71	213.05	0.88134	1219.7	499.96	0.97113
1223.1	419.01	0.95773	1012	289.54	0.81278	960.56	105.81	0.4427	1220	564.07	0.99106	874.82	216.98	0.88134	1220.3	499.09	0.97113
1223.2	417.13	0.95773	1009.4	287.82	0.81278	959.66	105.8	0.4427	1220.3	564.59	0.99106	874.24	219.9	0.88134	1219.8	499.18	0.97113
1223.1	416.42	0.95773	1005.6	284.44	0.81278	960	106.11	0.4427	1218.9	565.49	0.99106	873.5	223.4	0.88134	1218.6	498.76	0.97113
1223.1	416.66	0.95773	1003	282.01	0.81278	959.33	106.66	0.4427	1216.4	565.11	0.99106	872.75	227.1	0.88134	1217.4	499.22	0.97113
1223.1	415.78	0.95773	999.6	278.17	0.81278	956.89	104.95	0.4427	1215.7	564.69	0.99106	872.29	230.08	0.88134	1216.1	499.7	0.97113
1223.1	414.56	0.95773	996.37	274.49	0.81278	953.8	105.06	0.4427	1214.5	563.73	0.99106	871.9	233.2	0.88134	1215.6	499.66	0.97113
1223.2	413.72	0.95773	993.54	271.52	0.81278	950.33	105.42	0.4427	1213.6	563.7	0.99106	872.14	235.85	0.88134	1215.1	499.74	0.97113
1223.2	413.9	0.95773	990.67	268.77	0.81278	946.9	106.33	0.4427	1212.6	564.21	0.99106	872.09	238.83	0.88134	1214.6	499.77	0.97113
1223.3	412.07	0.95773	987.91	265.56	0.81278	945.11	106.83	0.4427	1212.1	564.42	0.99106	873.02	242.34	0.88134	1214.4	499.45	0.97113
1223.3	411.62	0.95773	985.12	262.99	0.81278	943.26	107.59	0.4427	1211.4	564.86	0.99106	874.05	245.66	0.88134	1213.8	499.29	0.97113
1223.3	410.95	0.95773	982.16	259.51	0.81278	941.89	108.08	0.4427	1210.2	566.56	0.99106	874.93	248.54	0.88134	1213.7	499.24	0.97113
1223.5	410.1	0.95773	979.24	255.61	0.81278	940.97	108.17	0.4427	1209.1	568.61	0.99106	876.22	253.47	0.88134	1213.2	499.37	0.97113
1223.6	410.52	0.95773	976.21	251.38	0.81278	940.3	108.19	0.4427	1207.9	570.08	0.99106	877.49	257.04	0.88134	1213.1	499.26	0.97113
1223.6	409.3	0.95773	973.07	247.67	0.81278	938.33	108.76	0.4427	1206.5	571.75	0.99106	879.85	260.82	0.88134	1213.1	498.99	0.97113
1223.8	408.47	0.95773	969.96	243.99	0.81278	936.8	109.46	0.4427	1205.4	571.79	0.99106	882.67	264.29	0.88134	1213.1	498.79	0.97113
1223.8	408.63	0.95773	967.4	240.97	0.81278	935.09	110.17	0.4427	1204.1	572.81	0.99106	884.02	266.39	0.88134	1212.7	498.74	0.97113
1224	406.84	0.95773	964.19	237.37	0.81278	933.11	111.23	0.4427	1202.9	573.61	0.99106	885.23	268.56	0.88134	1212.7	498.46	0.97113
1224.1	406.16	0.95773	961.53	233.89	0.81278	931.75	111.87	0.4427	1201.6	574.75	0.99106	887.32	272.65	0.88134	1212.3	498.49	0.97113
1224.1	405.51	0.95773	958.33	229.48	0.81278	930.23	112.77	0.4427	1200.4	575.82	0.99106	888.98	275.37	0.88134	1212.3	498.47	0.97113
1224.1	405.22	0.95773	954.98	225.39	0.81278	929.22	113.36	0.4427	1199.4	577.24	0.99106	890.88	278.08	0.88134	1212.3	498.36	0.97113
1224	404.6	0.95773	952.04	222	0.81278	928.21	113.98	0.4427	1198.6	578.59	0.99106	893.69	281.42	0.88134	1212.3	498.1	0.97113
1224	403.95	0.95773	948.82	218.72	0.81278	926.75	114.94	0.4427	1197.3	579.91	0.99106	895.78	283.95	0.88134	1212.3	497.96	0.97113
1223.9	403.57	0.95773	945.77	215.64	0.81278	925.81	115.44	0.4427	1195.6	581.45	0.99106	897.9	286.06	0.88134	1212.3	497.99	0.97113
1223.8	402.45	0.95773	941.74	211.31	0.81278	924.68	116.2	0.4427	1193.3	583.11	0.99106	899.28	287.66	0.88134	1212.5	497.6	0.97113
1223.7	400.38	0.95773	938.92	208.17	0.81278	924.01	116.56	0.4427	1190.8	584.8	0.99106	901.21	289.54	0.88134	1211.8	497.37	0.97113
