X,Y,Z,Z_SV
604.03,403.25,1193.3253608247421,1223.6
603.75,402.03,1193.3253608247421,1223.6
603.54,402.19,1193.3253608247421,1223.6
603.29,401.01,1193.2278350515464,1223.5
602.83,400.29,1192.9352577319587,1223.2
602.71,399.84,1192.8377319587628,1223.1
602.57,399.22,1192.9352577319587,1223.2
602.45,398.89,1192.8377319587628,1223.1
602.24,398.39,1192.8377319587628,1223.1
601.92,396.91,1192.8377319587628,1223.1
601.68,396.12,1192.8377319587628,1223.1
601.62,396.12,1192.9352577319587,1223.2
601.32,395.28,1192.9352577319587,1223.2
601.31,394.88,1193.0327835051546,1223.3
601.15,394.2,1193.0327835051546,1223.3
601.04,393.59,1193.0327835051546,1223.3
600.83,392.88,1193.2278350515464,1223.5
600.8,392.36,1193.3253608247421,1223.6
600.49,392.08,1193.3253608247421,1223.6
600.35,391.19,1193.520412371134,1223.8
600.02,391.25,1193.520412371134,1223.8
600.08,390.05,1193.7154639175258,1224.0
600.05,389.66,1193.8129896907215,1224.1
600.05,389.08,1193.8129896907215,1224.1
600.09,388.19,1193.8129896907215,1224.1
600.01,386.61,1193.7154639175258,1224.0
599.72,386.24,1193.7154639175258,1224.0
599.51,385.45,1193.6179381443299,1223.9
599.27,384.85,1193.520412371134,1223.8
598.91,383.27,1193.4228865979383,1223.7
598.72,382.48,1193.520412371134,1223.8
598.53,381.64,1193.6179381443299,1223.9
598.46,382.36,1193.6179381443299,1223.9
598.4,381.21,1193.7154639175258,1224.0
598.18,380.25,1193.8129896907215,1224.1
598.25,378.83,1193.8129896907215,1224.1
598.16,378.3,1193.8129896907215,1224.1
598.16,377.13,1193.8129896907215,1224.1
598.24,376.38,1193.6179381443299,1223.9
597.91,375.88,1193.4228865979383,1223.7
597.77,374.98,1193.2278350515464,1223.5
597.7,374.19,1193.2278350515464,1223.5
597.46,372.92,1192.9352577319587,1223.2
597.19,372.23,1192.8377319587628,1223.1
597.15,371.83,1192.7402061855669,1223.0
