X,Y,Z
384.54,66.97,46.36463917525782
384.21,66.85,47.447175257732056
383.14,66.44,48.60773195876277
382.71,66.27,49.71952577319598
382.07,65.99,50.831319587628855
380.87,65.6,52.206432989690825
380.79,65.58,53.08416494845358
381.2,65.44,52.752577319587544
381.82,65.6,53.40599999999995
379.89,65.41,55.78562886597945
379.28,66.09,58.79917525773203
377.65,67.08,62.18331958762883
375.25,68.48,65.52845360824745
373.68,69.33,67.27416494845363
372.26,70.2,69.0783917525772
370.22,71.29,70.41449484536076
368.86,72.21,71.31173195876283
367.64,73.14,71.96515463917535
366.38,74.07,73.88641237113404
365.29,74.82,75.37855670103102
364.47,75.53,77.04624742268038
363.21,76.37,78.97725773195884
362.44,77.1,80.30360824742274
361.58,77.78,81.78599999999994
360.54,78.61,82.77101030927838
359.73,79.33,83.75602061855682
358.75,80.04,85.1798969072164
358.02,80.7,86.09663917525779
357.08,81.41999999999999,87.19868041237123
356.49,81.97999999999999,87.85210309278364
355.75,82.59,89.93915463917529
356.34,82.15,91.55808247422681
355.81,83.02000000000001,92.46507216494854
354.57,85.88999999999999,93.01121649484537
355.07,87.88,93.62562886597937
355.1,92.80000000000001,94.47410309278348
355.82,95.50999999999999,93.92795876288665
356.69,98.32,95.68342268041238
357.47,100.55000000000001,97.31210309278356
358.58,104.25,98.68721649484542
359.52,107.03999999999999,99.71123711340203
360.49,109.47,100.99857731958764
361.52,111.72999999999999,102.23715463917529
362.33,113.68,104.06088659793818
363.35,116.13,105.63105154639175
364.04,117.91999999999999,107.31824742268043
364.96,119.94999999999999,108.53731958762899
365.71,121.69,109.98070103092778
366.47,123.44,111.24853608247429
367.17,124.99000000000001,112.83820618556706
367.36,125.88,114.04752577319596
368.2,127.43,115.36412371134031
370.07,129.18,116.6514639175258
373.0,130.51,119.04084536082473
377.58,132.54,120.08437113402056
380.5,133.44,123.92688659793816
384.04,135.06,126.46255670103096
386.52,136.37,129.27129896907218
388.8,137.44,130.54888659793812
392.2,138.69,131.86548453608248
395.83,139.25,133.3283711340207
399.84,139.53,135.92255670103089
403.95,139.68,139.53101030927837
407.78,140.04,145.45082474226797
411.66,140.45,148.50338144329896
414.95,140.93,150.7367216494846
417.96,141.39,152.68723711340215
421.47,142.11,153.83804123711343
424.75,142.8,154.59874226804118
427.53,143.25,156.45173195876293
430.93,144.0,158.88987628865982
433.19,144.46,160.83063917525783
435.47,144.98,162.22525773195878
437.21,145.29,165.7459381443299
438.89,145.57,171.13911340206187
441.47,146.17,169.06181443298965
442.9,146.4,169.08131958762885
444.66,146.83,170.9343092783505
445.83,147.09,172.6800206185568
447.2,147.32,174.07463917525774
448.99,147.77,175.43999999999994
450.79,148.05,176.7956082474227
451.67,148.15,177.946412371134
453.22,148.45,178.89241237113401
453.68,148.56,179.9456907216495
455.9,148.85,180.95995876288669
456.4,148.83,181.08674226804123
457.68,149.12,182.13026804123706
458.12,149.11,183.173793814433
458.83,149.2,184.21731958762882
459.88,149.46,185.25109278350521
461.2,149.97,186.29461855670104
463.12,149.88,187.33814432989698
466.16,149.07,189.18138144329896
468.66999999999996,148.04,190.33218556701036
471.54999999999995,146.69,191.4927422680413
474.49,145.34,192.6435463917527
477.27,144.14,193.80410309278352
479.9,143.1,194.9549072164948
482.30999999999995,142.27,196.11546391752574
484.58000000000004,141.38,196.76888659793815
486.91999999999996,140.58,197.8904329896908
489.37,139.8,199.01197938144333
491.71000000000004,139.07,200.13352577319586
493.58000000000004,138.63,201.2550721649485
495.69000000000005,137.97,202.37661855670103
497.53999999999996,137.41,203.49816494845368
499.53999999999996,136.81,204.60995876288666
501.15999999999997,136.42,204.97080412371145
503.12,136.0,205.49744329896907
504.80999999999995,135.65,205.91680412371136
506.26,135.35,206.38492783505149
507.88,134.97,206.58973195876297
509.47,134.56,206.9993402061856
510.95000000000005,134.21,207.3309278350515
512.2,133.94,207.35043298969072
513.67,133.63,207.39919587628867
515.27,133.31,207.30167010309287
516.74,133.03,207.2334020618557
518.44,132.56,206.9993402061856
519.36,132.1,205.9070515463917
520.53,131.91,206.14111340206182
522.65,132.26,206.05334020618568
524.18,133.38,205.51694845360828
526.04,134.58,204.90253608247428
528.06,136.03,204.4051546391753
530.28,137.61,203.71272164948448
532.44,139.23,203.03979381443298
533.96,140.46,202.29859793814433
536.26,142.05,201.44037113402067
538.13,143.44,200.66991752577314
539.2,144.16,199.63614432989698
540.27,144.77,198.67063917525775
542.41,146.97,197.55884536082476
542.79,149.85,196.93468041237122
541.99,151.8,196.1447216494845
541.79,155.74,195.4132783505155
541.68,159.63,194.09668041237114
541.75,163.57,192.12665979381438
541.95,167.51,190.01035051546398
542.32,171.0,187.58195876288664
542.51,174.31,185.50465979381443
542.58,177.34,183.37859793814437
542.36,180.34,181.4865979381443
541.71,184.23,179.47756701030937
540.98,187.98,177.4100206185568
541.04,192.74,175.03039175257732
541.94,196.7,172.2021443298969
542.84,201.64,169.0715670103093
542.92,207.94,166.03851546391752
542.25,213.17000000000002,162.74214432989686
542.02,218.85000000000002,159.4652783505154
542.79,225.48000000000002,155.93484536082474
543.5,230.64,152.28738144329895
543.53,237.19,148.39610309278362
542.94,243.83999999999997,144.78764948453613
544.33,251.98000000000002,141.2279587628866
545.71,260.12,137.49272164948457
545.72,268.2,133.72822680412366
545.8,273.85,130.0612577319588
545.07,275.99,126.30651546391755
544.76,280.96,123.05890721649484
544.45,285.94,119.8210515463918
544.14,290.92,116.64171134020614
543.83,295.89,113.5208865979381
543.52,300.87,110.68288659793814
543.68,306.05,107.84488659793817
543.98,312.86,105.17268041237116
544.22,316.38,102.32492783505165
544.58,322.73,99.61371134020612
544.01,325.73,97.03903092783503
543.24,330.43,94.35707216494848
542.44,335.82,91.76288659793818
541.31,343.59,89.13944329896901
540.63,348.49,86.55501030927837
540.19,352.55,83.6975051546392
539.89,357.16,81.42515463917516
539.54,361.82,78.89923711340202
538.97,365.01,76.52936082474241
538.75,369.46,74.0717113402062
538.26,373.33,71.6335670103092
538.03,376.96,69.23443298969084
537.48,379.97,67.04010309278362
537.13,382.88,65.01156701030936
537.65,386.74,62.71971134020623
538.17,390.59,59.77443298969081
538.69,394.45,56.370783505154805
539.21,398.31,52.92812371134016
539.73,402.17,49.573237113402
540.26,406.03,46.442659793814414
540.78,409.88,43.39985567010319
541.19,414.02,40.43507216494845
541.94,419.13,37.7141030927836
542.73,423.11,34.87610309278364
543.34,426.64,32.21364948453618
544.35,430.34,29.3366391752578
544.94,433.51,26.625422680412385
545.41,436.02,23.719154639175144
545.96,438.6,20.608082474226762
545.93,442.17,17.575030927834973
545.59,445.13,14.346927835051588
545.48,448.5,11.011546391752631
545.76,452.57,7.695670103092766
546.34,456.26,4.379793814433015
547.14,460.0,0.9663917525773513
547.86,462.71,-2.4470103092784257
548.47,465.42999999999995,-6.250515463917623
549.05,468.15999999999997,-9.76144329896897
549.23,471.41999999999996,-13.174845360824634
549.1,473.67999999999995,-16.783298969072007
549.1,475.82000000000005,-20.099175257731986
549.21,478.25,-23.122474226804
549.53,481.37,-26.340824742267955
549.72,484.29999999999995,-29.851752577319644
550.43,487.45000000000005,-32.777525773195975
550.98,489.41999999999996,-35.800824742268105
551.53,491.91999999999996,-39.116701030927516
552.1,494.48,-41.65237113402031
552.67,496.65999999999997,-44.968247422680406
553.42,498.67999999999995,-48.38164948453618
554.23,500.6,-51.20989690721649
554.9,502.76,-53.8430927835052
555.22,504.6,-56.76886597938142
555.93,506.73,-59.792164948453774
556.65,508.4,-61.7426804123711
557.2,510.12,-64.86350515463914
557.62,512.17,-67.39917525773194
557.78,513.76,-69.83731958762883
558.28,515.52,-72.1779381443298
558.99,517.5,-74.518556701031
559.74,519.49,-76.95670103092789
560.09,520.89,-79.00474226804113
560.12,522.16,-80.95525773195891
560.82,524.61,-83.00329896907192
561.09,526.16,-85.05134020618539
561.62,528.03,-86.90432989690726
561.77,529.36,-88.7573195876289
562.37,531.35,-90.80536082474237
562.58,532.46,-92.75587628865992
562.84,533.56,-94.51134020618565
563.59,535.67,-95.97422680412365
563.61,536.1,-97.82721649484552
564.38,538.51,-99.58268041237125
564.51,540.04,-101.14309278350515
564.58,541.22,-102.31340206185564
563.81,542.11,-103.19113402061862
561.72,544.91,-103.77628865979409
559.88,545.52,-104.5564948453607
557.84,546.14,-105.43422680412368
555.75,546.97,-106.50701030927848
553.81,547.54,-107.48226804123715
552.34,547.71,-108.45752577319581
549.78,547.74,-109.23773195876288
547.21,547.77,-109.33525773195879
544.65,547.8,-108.84762886597969
542.08,547.83,-108.94515463917514
539.51,547.86,-109.33525773195879
536.95,547.89,-110.31051546391768
534.38,547.92,-111.57835051546408
531.82,547.95,-114.6991752577319
529.25,547.98,-116.2595876288658
526.69,548.01,-114.7967010309278
524.12,548.04,-115.77195876288647
521.55,548.07,-117.13731958762878
518.99,548.1,-116.74721649484536
516.42,548.13,-116.45463917525763
513.86,548.16,-116.2595876288658
511.28999999999996,548.19,-116.64969072164945
508.73,548.21,-118.21010309278336
506.15999999999997,548.24,-118.99030927835042
503.59000000000003,548.27,-120.25814432989705
501.03,548.3,-119.5754639175259
494.58000000000004,544.87,-119.38041237113407
491.58000000000004,540.74,-119.5754639175259
488.98,536.67,-118.79525773195883
485.07000000000005,531.42,-119.08783505154634
481.65999999999997,527.16,-119.38041237113407
478.54999999999995,523.23,-119.5754639175259
476.09000000000003,519.7,-119.77051546391749
473.53,515.16,-119.5754639175259
471.62,510.76,-119.47793814432976
470.04999999999995,506.73,-119.28288659793816
468.48,502.70000000000005,-119.28288659793816
466.9,498.65999999999997,-119.47793814432976
465.33,494.63,-119.5754639175259
463.76,490.6,-119.77051546391749
462.18,486.57000000000005,-119.8680412371134
460.61,482.53,-120.35567010309273
459.04,478.5,-120.74577319587638
457.46,474.47,-121.52597938144322
455.89,470.44000000000005,-122.40371134020597
456.21,468.6,-122.5987628865978
457.42,464.32,-122.79381443298962
458.62,459.46,-123.6715463917526
459.87,454.23,-124.54927835051535
460.93,449.14,-125.42701030927833
461.93,443.55,-126.30474226804108
462.62,438.51,-126.98742268041224
463.49,433.71,-127.7676288659793
464.94,429.13,-128.45030927835046
466.92,424.57,-129.32804123711344
468.89,419.87,-130.2057731958762
470.48,413.88,-131.08350515463917
470.71000000000004,409.4,-131.6686597938144
471.46000000000004,402.7,-132.15628865979352
473.0,396.41,-132.4488659793817
474.73,390.93,-132.64391752577308
476.82000000000005,385.49,-132.8389690721649
478.85,379.64,-133.03402061855672
480.77,373.24,-133.22907216494832
482.03999999999996,368.48,-133.32659793814423
483.33000000000004,363.3,-133.42412371134037
484.66999999999996,357.14,-133.42412371134037
485.84000000000003,352.02,-133.7167010309281
487.08000000000004,347.0,-133.7167010309281
488.30999999999995,342.6,-133.7167010309281
489.69000000000005,337.7,-133.81422680412356
490.73,333.47,-133.9117525773197
491.96000000000004,329.16,-134.1068041237113
492.94000000000005,325.09,-134.1068041237113
493.89,321.33,-134.30185567010312
495.03,317.29,-134.39938144329903
496.13,313.47,-134.59443298969063
497.36,309.66,-134.78948453608245
498.28999999999996,306.27,-134.78948453608245
498.6,301.4,-135.08206185566996
498.4,297.71,-135.4721649484536
498.53,292.54,-133.81422680412356
499.36,287.04,-132.25381443298966
500.59000000000003,282.14,-130.69340206185552
502.08000000000004,277.15,-129.13298969072162
503.42999999999995,272.67,-127.47505154639157
504.70000000000005,267.4,-126.69484536082473
504.85,263.44,-126.69484536082473
505.02,258.54,-125.71958762886607
505.45000000000005,253.39,-124.74432989690717
507.15,247.70999999999998,-124.74432989690717
508.39,244.76999999999998,-122.79381443298962
510.22,241.16000000000003,-121.81855670103096
511.6,238.64,-118.89278350515451
513.0,235.12,-115.9670103092783
514.12,231.20999999999998,-113.04123711340208
514.88,227.67000000000002,-110.8956701030927
516.08,224.11,-109.14020618556697
517.44,221.29000000000002,-106.8971134020619
519.23,218.45,-105.33670103092777
520.74,216.13,-103.77628865979409
522.28,213.98000000000002,-102.21587628865996
524.4,211.39999999999998,-100.55793814432991
525.61,209.47000000000003,-98.99752577319578
526.7,208.02,-96.46185567010298
528.08,206.56,-93.24350515463925
529.67,205.03,-90.80536082474237
530.69,204.03,-88.26969072164911
531.74,202.53,-86.12412371134019
532.07,201.78,-83.97855670103104
532.39,200.79,-82.22309278350531
534.08,199.91,-80.66268041237117
535.77,199.04,-78.90721649484544
537.47,198.16,-76.27402061855673
539.16,197.29,-72.47051546391754
540.86,196.41,-67.88680412371127
542.55,195.54,-63.205567010309096
544.25,194.67,-59.889690721649686
545.94,193.79,-57.45154639175257
547.64,192.92,-54.915876288659774
549.33,192.04,-51.69752577319582
551.46,191.42,-48.67422680412369
554.11,191.02,-44.870721649484494
554.91,191.28,-40.28701030927846
556.64,191.26,-36.67855670103086
558.2,191.29,-32.38742268041244
559.03,191.32,-29.559175257732022
559.86,191.35,-26.9259793814432
560.7,191.39,-24.975463917525758
561.53,191.42,-24.292783505154603
562.37,191.45,-23.610103092783447
563.2,191.49,-22.927422680412405
564.03,191.52,-22.24474226804125
564.87,191.55,-21.56206185566998
565.7,191.59,-20.879381443298826
566.54,191.62,-20.196701030927784
567.37,191.65,-19.51402061855663
568.2,191.69,-18.831340206185587
569.04,191.72,-18.14865979381443
569.87,191.75,-17.465979381443162
568.99,191.82,-16.783298969072007
568.67,192.31,-16.100618556700965
568.13,193.08,-15.417938144330037
567.96,193.54,-14.735257731958768
563.09,193.98,-14.052577319587613
563.35,194.12,-13.369896907216344
563.61,194.26,-12.687216494845188
563.87,194.4,-12.004536082474374
564.12,194.55,-11.321855670103218
564.38,194.69,-10.63917525773195
564.64,194.83,-9.956494845360794
564.9,194.97,-9.273814432989639
565.16,195.11,-8.59113402061837
565.41,195.25,-7.9084536082474415
565.67,195.4,-7.2257731958764
565.93,195.54,-6.543092783505244
566.19,195.68,-5.5678350515463535
566.55,196.86,-5.762886597938177
567.48,198.18,-5.5678350515463535
568.14,199.82,-4.885154639175198
568.16,200.99,-3.909896907216421
569.25,201.67,-3.129690721649581
573.07,211.22000000000003,-2.642061855670022
573.02,213.33999999999997,-2.251958762886602
572.47,214.61,-1.9593814432989802
572.67,218.82999999999998,-1.9593814432989802
572.89,224.26,-1.9593814432989802
573.21,228.49,-2.544536082474224
573.7,232.76999999999998,-3.0321649484535556
573.94,235.64,-3.519793814433001
574.15,238.29000000000002,-4.104948453608017
574.25,239.70999999999998,-4.885154639175198
573.64,238.08999999999997,-5.5678350515463535
572.82,238.14,-6.640618556700815
573.37,246.7,-7.9084536082474415
573.12,251.56,-9.663917525773172
573.44,257.01,-11.321855670103218
573.43,260.32,-13.174845360824634
573.3,261.19,-15.222886597938214
573.37,261.59,-17.270927835051566
574.85,269.46,-19.318969072165032
575.62,272.75,-21.56206185566998
576.32,276.73,-23.51257731958765
576.73,279.39,-25.755670103092825
576.55,280.06,-27.80371134020595
576.43,281.53,-29.75422680412362
576.43,281.83,-32.09484536082482
576.54,284.48,-33.94783505154635
576.81,286.56,-35.9958762886597
577.11,290.65,-38.14144329896908
576.52,292.25,-40.091958762886634
576.01,293.73,-40.8721649484537
575.53,294.16,-43.992989690721515
575.5,292.92,-47.113814432989784
576.13,297.31,-50.2346391752576
576.86,305.17,-53.35546391752564
573.43,308.58,-56.47628865979368
570.0,312.0,-59.49958762886581
563.0,315.0,-62.62041237113408
562.0,314.0,-65.7412371134019
559.48,312.53,-68.86206185567016
556.0,314.0,-71.9828865979382
554.0,313.0,-75.10371134020602
554.0,310.0,-78.22453608247406
554.0,308.0,-81.34536082474233
553.75,308.05,-84.36865979381423
551.44,308.34,-87.4894845360825
549.13,308.63,-90.80536082474237
546.82,308.92,-93.9261855670104
544.51,309.21,-96.94948453608231
543.04,306.65,-99.77773195876284
540.39,302.97,-102.50845360824769
539.29,301.74,-105.14164948453617
539.52,298.26,-107.48226804123715
536.84,298.13,-109.92041237113403
538.94,297.46,-112.1635051546391
538.54,297.17,-114.50412371134007
533.97,297.09,-116.64969072164945
548.0,282.0,-118.79525773195883
548.19,281.01,-120.74577319587638
547.0,280.0,-122.79381443298962
546.0,280.0,-124.84185567010309
545.0,280.0,-126.69484536082473
544.0,280.0,-128.25525773195864
544.0,279.0,-130.2057731958762
544.0,278.0,-131.863711340206
544.0,277.0,-133.32659793814423
544.0,276.0,-134.9845360824745
544.0,275.0,-136.3498969072166
544.0,274.0,-138.10536082474232
543.0,274.0,-139.66577319587623
542.0,274.0,-141.5187628865981
542.0,274.0,-143.07917525773178
540.85,276.16,-144.54206185567
542.82,277.51,-146.20000000000005
545.18,278.86,-147.66288659793804
546.05,280.76,-149.3208247422681
546.92,282.57,-150.881237113402
548.28,284.64,-152.1490721649484
550.5,287.06,-153.41690721649502
551.82,288.66,-154.58721649484528
551.16,289.34,-155.8550515463919
552.56,290.56,-157.12288659793808
553.34,291.64,-158.39072164948448
554.52,293.22,-159.65855670103088
556.73,295.75,-160.92639175257727
557.77,297.91,-162.19422680412367
558.68,299.49,-163.46206185567007
560.08,301.33,-164.72989690721647
560.98,302.72,-165.99773195876287
562.61,304.36,-167.26556701030927
563.88,305.81,-168.63092783505158
564.99,307.07,-169.9962886597939
565.76,308.03,-171.36164948453597
566.7,308.84,-172.8245360824742
569.25,310.49,-174.1898969072165
569.25,312.13,-175.5552577319586
569.27,316.55,-176.9206185567009
569.79,321.66,-178.28597938144344
570.38,326.65,-179.65134020618552
570.91,330.63,-181.01670103092783
571.66,334.58,-182.47958762886606
572.72,337.7,-182.38206185566992
573.69,344.05,-184.4301030927836
572.8,348.28,-184.8202061855668
571.95,350.86,-185.11278350515477
571.72,355.62,-184.8202061855668
571.98,359.12,-185.01525773195863
573.12,365.31,-185.30783505154636
572.38,369.21,-185.21030927835045
571.49,372.55,-184.72268041237112
570.68,376.74,-184.4301030927836
570.44,380.87,-184.2350515463918
571.26,386.16,-184.03999999999996
572.78,391.38,-184.03999999999996
573.0,453.0,-184.2350515463918
540.45,516.02,-184.5276288659793
539.1,516.47,-184.3325773195877
538.71,516.32,-184.1375257731961
538.85,516.63,-183.74742268041246
540.01,517.96,-183.2597938144329
541.2,518.78,-182.47958762886606
542.83,519.76,-181.30927835051511
543.48,519.15,-179.74886597938143
544.59,519.14,-177.8958762886598
545.69,519.36,-176.5305154639177
546.85,519.61,-175.16515463917517
547.27,519.18,-173.70226804123718
548.14,519.62,-172.62948453608237
548.59,519.72,-171.6542268041237
548.06,519.33,-170.77649484536073
547.38,519.22,-171.06907216494847
547.25,519.22,-169.60618556701024
548.07,518.43,-168.8259793814434
549.21,516.82,-167.46061855670087
550.99,514.94,-165.3150515463915
551.21,513.13,-164.53484536082465
551.43,511.33000000000004,-163.9496907216494
551.65,509.53,-162.68185567010323
551.87,507.72,-161.90164948453594
552.09,505.91999999999996,-161.60907216494843
552.31,504.12,-161.90164948453594
552.53,502.30999999999995,-159.8536082474227
552.75,500.51,-158.9758762886595
552.97,498.70000000000005,-158.09814432989697
554.0,498.0,-157.12288659793808
554.0,498.0,-156.2451546391751
555.0,497.0,-155.36742268041235
556.0,496.0,-154.48969072164937
557.0,495.0,-153.6119587628864
557.0,495.0,-152.73422680412364
558.0,494.0,-151.75896907216497
560.0,494.0,-150.881237113402
562.0,493.0,-150.00350515463924
563.0,491.0,-149.1257731958765
563.1,489.03,-147.1752577319587
563.23,487.07000000000005,-146.20000000000005
563.4,485.11,-145.22474226804115
563.61,483.15,-143.2742268041236
563.87,481.17999999999995,-140.34845360824738
569.0,481.0,-139.1781443298969
569.97,478.49,-138.10536082474232
570.94,475.98,-136.93505154639183
571.91,473.47,-135.86226804123726
572.88,470.96000000000004,-134.69195876288632
573.86,468.45000000000005,-133.6191752577315
574.83,465.94000000000005,-132.4488659793817
576.09,463.66,-126.69484536082473
576.77,460.92,-123.57402061855669
576.46,458.83,-119.77051546391749
575.67,457.68,-115.86948453608261
575.75,455.48,-111.87092783505159
576.95,452.71,-106.70206185567008
578.35,450.6,-102.80103092783497
579.17,447.97,-99.09505154639169
579.2,445.71,-95.58412371134
578.39,445.03,-92.26824742268036
577.29,443.57,-89.14742268041232
576.64,442.17,-85.83154639175245
576.85,440.69,-82.4181443298969
578.88,437.64,-78.41958762886611
579.96,434.34,-74.7136082474226
580.17,431.09,-71.10515463917523
579.65,429.11,-67.98432989690718
578.87,427.05,-64.4734020618555
578.2,424.78,-61.450103092783365
577.6,423.52,-58.23175257731941
577.66,421.68,-55.013402061855686
579.25,419.0,-51.404948453608085
580.29,416.37,-47.69896907216503
581.44,408.37,-44.09051546391743
580.84,405.93,-40.579587628865966
580.27,403.26,-37.458762886597924
579.56,401.37,-34.53298969072159
579.07,399.56,-31.8022680412372
578.77,396.62,-29.266597938144173
578.56,394.53,-26.633402061855577
578.65,391.8,-24.09773195876278
578.48,390.05,-21.95216494845363
578.62,387.92,-20.00164948453596
578.65,385.91,-18.051134020618406
578.72,384.34,-16.100618556700965
579.3,381.65,-14.15010309278341
579.83,378.54,-12.19958762886597
579.98,375.64,-10.05402061855682
579.51,372.57,-8.00597938144324
576.0,389.0,-5.5678350515463535
574.0,387.0,-3.422268041237203
572.0,385.0,-1.2767010309278248
570.0,383.0,0.8688659793814395
568.64,380.88,3.0144329896908175
568.74,378.92,5.355051546391792
568.85,376.95,8.28082474226801
569.0,375.0,10.914020618556833
568.55,372.8,13.771525773196004
568.73,370.89,16.297443298969256
568.91,369.01,18.677072164948413
569.1,367.14,20.754371134020744
569.3,365.29,22.55859793814443
569.51,363.45,24.333567010309366
569.72,361.63,25.913484536082365
569.94,359.82,27.48364948453616
570.16,358.02,28.790494845360854
570.39,356.22,30.14610309278362
570.61,354.41,31.306659793814447
570.83,352.61,32.311175257731975
571.05,350.81,33.54975257731962
571.27,349.0,34.359216494845214
571.49,347.2,35.33447422680399
571.71,345.39,36.07567010309276
570.69,345.4,36.68032989690721
569.48,344.01,36.74859793814437
568.27,342.57,36.60230927835062
567.74,342.06,38.396783505154644
567.64,342.05,40.94220618556699
567.99,342.05,43.49738144329899
569.43,342.49,46.19884536082475
570.36,343.35,48.48094845360822
570.45,344.09,50.0901237113402
571.07,344.72,51.78707216494843
571.77,345.01,54.527546391752594
572.73,345.57,56.60484536082481
574.48,348.85,57.54109278350518
574.82,352.13,58.818680412371236
574.32,354.95,60.18404123711343
573.91,357.81,62.310103092783606
573.57,360.85,64.50443298969083
573.59,364.52,66.8255463917526
573.45,366.59,69.51725773195881
573.49,368.35,71.72134020618557
573.65,370.84,74.13997938144325
573.74,373.82,76.28554639175263
573.11,374.87,78.66517525773202
572.68,375.77,81.06430927835038
572.22,379.15,83.78527835051557
571.82,380.88,86.54525773195883
571.69,382.36,89.285731958763
572.1,383.64,92.47482474226808
572.96,384.79,95.93698969072159
573.97,386.14,99.3406391752577
575.32,389.0,102.84181443298974
576.1,392.23,105.93338144329891
576.25,393.65,109.04445360824752
576.4,395.14,111.97997938144329
576.55,396.69,114.66193814432995
576.7,398.3,117.11958762886604
576.86,399.91,119.3431752577319
577.01,401.53,121.88859793814436
577.17,403.14,124.01465979381453
577.32,404.75,126.08220618556709
577.48,406.36,128.03272164948464
577.63,407.97,129.80769072164946
577.79,409.62,131.3485979381444
577.96,411.34,133.05529896907217
578.13,413.16,134.57670103092778
578.3,415.16,136.34191752577328
578.48,417.37,137.9608453608248
578.66,419.86,139.47249484536076
578.85,422.58,141.21820618556706
579.05,425.36,142.9346597938145
579.26,428.39,144.4560618556701
579.43,431.69,146.00672164948458
579.65,435.51,147.53787628865985
582.0,440.0,149.15680412371137
584.0,443.0,150.40513402061856
585.0,445.0,151.68272164948462
585.0,446.0,152.8335257731959
584.0,446.0,154.07210309278355
584.0,446.0,155.04736082474233
584.0,446.0,155.78855670103087
584.0,446.0,156.56876288659805
584.0,446.0,157.2904536082475
562.0,504.0,158.1194226804123
570.0,520.0,158.70457731958766
575.0,524.0,159.57255670103098
576.0,525.0,160.11870103092792
578.0,526.0,160.6160824742268
579.0,528.0,161.16222680412375
582.0,530.0,161.95218556701036
584.0,528.0,162.8981855670104
584.0,521.0,163.75641237113405
584.0,508.0,164.67315463917532
583.0,501.0,165.22905154639182
584.0,498.0,166.17505154639173
584.0,495.0,166.94550515463925
584.0,496.0,168.00853608247417
584.0,492.0,169.6859793814433
584.0,486.0,171.26589690721653
584.0,481.0,172.84581443298964
584.0,477.0,174.1819175257732
584.0,475.0,175.24494845360834
584.0,474.0,175.6448041237113
584.0,474.0,176.03490721649484
584.0,473.0,176.43476288659804
584.0,471.0,176.83461855670112
584.0,469.0,177.23447422680408
584.0,469.0,177.62457731958762
583.0,470.0,178.0244329896908
582.0,471.0,178.4242886597939
581.0,472.0,178.82414432989685
579.81,473.85,179.2142474226804
579.87,475.23,179.61410309278358
579.94,476.62,180.01395876288666
580.0,478.0,180.41381443298974
578.91,479.24,180.80391752577316
578.96,480.62,180.23826804123712
579.0,482.0,179.3117731958763
578.69,483.89,178.32676288659798
578.73,485.28,177.49779381443295
578.76,486.66999999999996,176.72734020618554
578.8,488.05999999999995,175.93738144329893
578.84,489.44000000000005,175.3132164948454
578.88,490.83000000000004,174.63053608247424
578.92,492.22,174.045381443299
578.96,493.61,173.53824742268046
579.0,495.0,172.92383505154646
578.0,496.0,172.60199999999998
577.0,497.0,171.91931958762893
575.52,498.37,171.59748453608256
575.52,499.75,171.0123298969072
575.51,501.13,170.21261855670116
575.5,502.5,169.38364948453614
574.4,505.88,168.4766597938144
574.25,507.54999999999995,167.48189690721654
574.23,508.33000000000004,166.21406185567014
575.39,510.65,165.2095463917525
575.16,511.02,164.4000824742268
574.94,511.34000000000003,163.54185567010313
574.83,511.94000000000005,162.72263917525777
574.87,512.81,162.0009484536082
574.61,513.22,161.31826804123716
575.09,514.1,160.6550927835052
574.91,514.48,160.06993814432985
574.81,514.6,159.45552577319586
574.71,514.72,159.00690721649494
573.99,514.58,158.93863917525778
574.35,516.14,160.0796907216495
572.61,515.25,161.25
574.33,515.21,161.93268041237116
572.68,516.1,162.15698969072162
571.12,519.37,162.20575257731957
569.09,516.96,162.85917525773198
568.23,518.7,163.35655670103097
568.6,516.91,163.77591752577325
568.8,516.38,164.4781030927835
570.38,516.32,165.98000000000002
569.12,516.96,168.57418556701032
569.77,517.83,169.93954639175251
571.84,516.81,170.64173195876288
572.65,514.98,171.99734020618553
573.36,513.51,173.12863917525772
573.57,512.14,173.8698350515465
574.7,509.98,174.7573195876289
574.64,508.90999999999997,176.1616907216495
575.1,508.36,177.4880412371134
576.14,508.87,178.87290721649492
578.56,503.98,179.64336082474233
578.49,499.89,179.32152577319584
577.53,498.21000000000004,178.775381443299
576.95,495.89,178.5218144329898
576.05,494.12,178.01468041237126
575.73,493.78,177.332
575.27,495.38,176.84437113402066
574.47,496.54999999999995,176.39575257731963
574.07,496.25,175.78134020618552
573.52,494.87,175.24494845360834
573.31,494.30999999999995,174.65004123711344
575.61,472.0,174.1819175257732
575.68,468.94000000000005,173.51874226804125
575.26,464.5,172.9921030927835
574.68,462.2,172.52397938144327
574.48,460.48,171.86080412371132
574.03,458.34,171.26589690721653
574.02,457.97,170.63197938144333
573.86,453.6,169.90053608247422
574.27,451.09,169.06181443298965
574.21,445.86,168.33037113402065
573.25,441.27,167.2673402061855
572.44,437.31,166.16529896907218
571.75,432.63,165.034
571.84,428.32,163.8441855670103
572.04,423.95,162.5763505154639
572.39,418.05,161.1134639175258
572.1,413.41,159.50428865979381
571.49,408.26,157.89511340206184
571.19,403.48,156.21767010309281
571.08,398.51,154.66701030927834
571.36,394.66,152.98956701030932
571.74,389.87,151.43890721649495
572.25,385.37,150.03453608247423
572.69,381.97,148.19129896907225
573.35,376.8,146.57237113402073
573.77,372.66,144.82665979381443
574.12,369.32,142.993175257732
